Address1,Addess2,Address3,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
Spencer Place,Chapeltown,Leeds,Chapel Allerton,1BF,10/06/2024,839
Garden House Close,Methley,Leeds,Kippax & Methley,1BF,16/04/2024,11
Midland House,Oulton,Leeds,Rothwell,1BF,22/04/2024,26
Crescent Grange,Beeston,Leeds,Hunslet & Riverside,2BMSF,25/04/2024,8
Walton Road,Wetherby,Leeds,Wetherby,1BF,03/05/2024,34
Lidgett Towers,Gledhow,Leeds,Roundhay,1BMSF,13/05/2024,302
Crescent Grange,Beeston,Leeds,Hunslet & Riverside,2BMSF,28/05/2024,3
Maryfield Gardens,Cross Gates,Leeds,Killingbeck & Seacroft,4BH,25/05/2024,594
Wyther Park Close,Armley,Leeds,Armley,1BF,07/05/2024,732
Holtdale Way,Adel,Leeds,Adel & Wharfedale,3BH,24/06/2024,476
Grove Crescent South,Boston Spa,Wetherby,Wetherby,1BB,23/05/2024,95
Tinshill View,Cookridge,Leeds,Weetwood,1BF,15/05/2024,687
Cowper Street,Chapeltown,Leeds,Chapel Allerton,3BH,24/06/2024,396
Tennyson Street,Guiseley,Leeds,Guiseley & Rawdon,1BF,25/05/2024,354
Fairleigh Road,West Ardsley,Wakefield,Ardsley & Robin Hood,3BH,10/04/2024,809
White Laithe Croft,Whinmoor,Leeds,Cross Gates & Whinmoor,1BB,18/06/2024,96
Lovell Park Court,Sheepscar,Leeds,Little London & Woodhouse,1BF,22/04/2024,17
Alexandra Grove,Hyde Park,Leeds,Headingley & Hyde Park,3BH,21/06/2024,826
Adams Croft,Otley,Leeds,Otley & Yeadon,1BF,22/05/2024,46
Kirkfield Avenue,Thorner,Leeds,Harewood,3BH,16/04/2024,859
Fairfield Avenue,Bramley,Leeds,Bramley & Stanningley,2BB,24/06/2024,1
Tennyson Street,Guiseley,Leeds,Guiseley & Rawdon,1BF,07/05/2024,388
Sissons Road,Middleton,Leeds,Middleton Park,3BH,05/06/2024,640
Bawn Lane,Farnley,Leeds,Farnley & Wortley,1BF,02/05/2024,582
Holtdale Place,Adel,Leeds,Adel & Wharfedale,3BH,22/04/2024,495
Helston Walk,Middleton,Leeds,Middleton Park,2BH,12/04/2024,611
Throstle Road,Middleton,Leeds,Middleton Park,3BH,09/04/2024,1012
Ley Lane,Armley,Leeds,Armley,4BH,13/05/2024,458
Alston Lane,Seacroft,Leeds,Killingbeck & Seacroft,4BH,09/05/2024,487
Kendal Drive,Halton,Leeds,Temple Newsam,3BH,09/05/2024,758
Newlands Drive,Morley,Leeds,Morley South,1BB,06/06/2024,546
Manor Farm Drive,Middleton,Leeds,Middleton Park,1BH,26/04/2024,615
Calverley Lane,Bramley,Leeds,Bramley & Stanningley,3BH,05/06/2024,1349
West End,Boston Spa,Wetherby,Wetherby,3BB,15/05/2024,647
White Laithe Grove,Whinmoor,Leeds,Cross Gates & Whinmoor,1BB,19/04/2024,1
Gascoigne House,Middleton,Leeds,Middleton Park,2BF,12/05/2024,1
Tarnside Drive,Seacroft,Leeds,Killingbeck & Seacroft,2BH,05/06/2024,513
Monkswood Bank,Seacroft,Leeds,Killingbeck & Seacroft,1BF,26/06/2024,1
Eastleigh Drive,West Ardsley,Wakefield,Ardsley & Robin Hood,2BH,29/05/2024,778
Ironwood Approach,Seacroft,Leeds,Killingbeck & Seacroft,4BH,20/05/2024,1
Low Moorside Court,New Farnley,Leeds,Farnley & Wortley,1BF,01/05/2024,329
Moor Avenue,Clifford,Wetherby,Wetherby,1BF,26/06/2024,43
Highbury Terrace,Headingley,Leeds,Weetwood,1BH,05/04/2024,852
Boggart Hill Crescent,Seacroft,Leeds,Killingbeck & Seacroft,2BH,26/04/2024,1
Monkswood Hill,Seacroft,Leeds,Killingbeck & Seacroft,2BH,15/04/2024,1
Westdale Drive,Pudsey,Leeds,Calverley & Farsley,1BF,30/05/2024,38
Cross Hills Drive,Kippax,Leeds,Kippax & Methley,3BH,17/04/2024,1
Seacroft Gate,Seacroft,Leeds,Killingbeck & Seacroft,1BMSF,25/06/2024,1
Monkswood Avenue,Seacroft,Leeds,Killingbeck & Seacroft,1BF,23/05/2024,697
Stanks Parade,Stanks,Leeds,Cross Gates & Whinmoor,2BH,18/04/2024,933
Gipton Square,Gipton,Leeds,Gipton & Harehills,3BH,24/04/2024,1194
Belle Isle Road,Belle Isle,Leeds,Middleton Park,2BH,12/04/2024,516
Tong Way,Farnley,Leeds,Farnley & Wortley,3BH,18/06/2024,682
Woodsley Road,Hyde Park,Leeds,Little London & Woodhouse,5BH,04/06/2024,124
Intake View,Middleton,Leeds,Middleton Park,3BH,31/05/2024,1205
Cottingley Heights,Beeston,Leeds,Beeston & Holbeck,2BMSF,31/05/2024,515
Crescent Towers,Beeston,Leeds,Hunslet & Riverside,2BF,19/06/2024,72
Johnston Street,Woodhouse,Leeds,Little London & Woodhouse,2BF,09/05/2024,446
Fearnley Place,Armley,Leeds,Armley,2BF,16/05/2024,355
Oatland Drive,Sheepscar,Leeds,Little London & Woodhouse,3BH,16/04/2024,94
Beech Mount,Gipton,Leeds,Gipton & Harehills,2BH,17/04/2024,899
Malvern Rise,Beeston,Leeds,Beeston & Holbeck,1BF,28/05/2024,927
Pudsey Road,Bramley,Leeds,Farnley & Wortley,3BH,16/04/2024,1349
Queenshill Drive,Moortown,Leeds,Moortown,3BH,24/06/2024,1
Eastleigh Court,West Ardsley,Wakefield,Ardsley & Robin Hood,1BB,08/05/2024,513
Shakespeare Grange,Burmantofts,Leeds,Burmantofts & Richmond Hill,2BMSF,30/05/2024,484
Walmer Grove,Pudsey,Leeds,Pudsey,3BH,09/05/2024,82
Cherry Tree Walk,East Ardsley,Wakefield,Ardsley & Robin Hood,1BF,22/05/2024,1
Newhall Chase,Belle Isle,Leeds,Middleton Park,1BB,22/05/2024,78
Gamble Hill Grange,Bramley,Leeds,Farnley & Wortley,1BEDMSB,15/05/2024,216
Church Hill Green,Stanningley,Pudsey,Bramley & Stanningley,2BH,24/06/2024,69
Sissons Road,Middleton,Leeds,Middleton Park,2BH,08/04/2024,694
Fieldhouse Walk,Moortown,Leeds,Moortown,1BB,04/04/2024,108
Enfield,Yeadon,Leeds,Otley & Yeadon,2BH,15/04/2024,600
Marsden Court,Farsley,Pudsey,Calverley & Farsley,2BMSF,18/04/2024,1
Third Avenue,Rothwell,Leeds,Rothwell,3BH,17/06/2024,875
Blake Crescent,Guiseley,Leeds,Guiseley & Rawdon,3BH,23/04/2024,957
Sherburn Close,Swarcliffe,Leeds,Cross Gates & Whinmoor,3BH,04/06/2024,1080
Foundry Mill Walk,Seacroft,Leeds,Killingbeck & Seacroft,4BH,29/04/2024,463
Maryfield Avenue,Cross Gates,Leeds,Killingbeck & Seacroft,3BH,25/06/2024,836
King George Avenue,Horsforth,Leeds,Horsforth,3BH,03/04/2024,1004
Fairfield Crescent,Bramley,Leeds,Bramley & Stanningley,3BH,05/06/2024,723
Parkway Towers,Seacroft,Leeds,Killingbeck & Seacroft,2BMSF,14/06/2024,157
Myers Croft,Otley,Leeds,Otley & Yeadon,1BB,29/04/2024,171
Tong Road,Farnley,Leeds,Armley,2BF,04/04/2024,1
The Garth,Richmond Hill,Leeds,Burmantofts & Richmond Hill,2BMSF,16/05/2024,1001
Redwood Avenue,West Ardsley,Wakefield,Ardsley & Robin Hood,3BH,11/06/2024,984
Asket Drive,Seacroft,Leeds,Killingbeck & Seacroft,1BF,30/04/2024,2
Bronte House,Chapeltown,Leeds,Chapel Allerton,1BF,02/05/2024,1
Queenshill Avenue,Moortown,Leeds,Moortown,3BM,01/05/2024,235
South Parkway,Seacroft,Leeds,Killingbeck & Seacroft,1BF,10/06/2024,1
The Towers,Armley,Leeds,Armley,2BF,04/04/2024,3
Ruskin Crescent,Guiseley,Leeds,Guiseley & Rawdon,3BH,20/06/2024,356
Sholebroke Mount,Potternewton,Leeds,Chapel Allerton,3BF,22/04/2024,266
Crimbles Court,Pudsey,Leeds,Pudsey,1BB,07/05/2024,170
Church Drive,East Keswick,Leeds,Harewood,1BF,08/05/2024,444
Houghley Lane,Bramley,Leeds,Armley,1BF,22/05/2024,1
Meynell Heights,Holbeck,Leeds,Beeston & Holbeck,2BMSF,09/05/2024,42
Smeaton Grove,West Park,Leeds,Kirkstall,4BH,03/06/2024,1
Queenshill Avenue,Moortown,Leeds,Moortown,3BM,03/06/2024,98
Crescent Towers,Beeston,Leeds,Hunslet & Riverside,2BMSF,28/06/2024,256
Ganners Way,Bramley,Leeds,Bramley & Stanningley,2BF,17/06/2024,652
West Grange Close,Belle Isle,Leeds,Middleton Park,1BF,02/05/2024,535
Sandford Road,Kirkstall,Leeds,Kirkstall,2BH,10/04/2024,570
Barncroft Heights,Seacroft,Leeds,Killingbeck & Seacroft,2BMSF,11/06/2024,1
Farrow Vale,Armley,Leeds,Farnley & Wortley,2BH,10/05/2024,825
Brooklands Avenue,Seacroft,Leeds,Killingbeck & Seacroft,3BH,02/04/2024,1
Cottingley Approach,Beeston,Leeds,Beeston & Holbeck,2BH,30/04/2024,256
Third Avenue,Wetherby,Leeds,Wetherby,2BH,08/05/2024,468
Farrow Vale,Armley,Leeds,Farnley & Wortley,3BH,24/05/2024,1062
New Street Grove,Pudsey,Leeds,Pudsey,1BB,17/05/2024,843
Halton Moor Avenue,Halton,Leeds,Temple Newsam,2BF,13/05/2024,183
Sherburn Close,Swarcliffe,Leeds,Cross Gates & Whinmoor,3BH,26/06/2024,675
Queenshill Avenue,Moortown,Leeds,Moortown,2BH,09/04/2024,1
Oakwell Close,Drighlington,Bradford,Morley North,2BH,12/06/2024,668
The Cote,Farsley,Pudsey,Calverley & Farsley,2BH,11/04/2024,543
Brooklands Close,Seacroft,Leeds,Killingbeck & Seacroft,3BH,18/04/2024,917
Burnsall Grange,Armley,Leeds,Armley,2BMSF,13/06/2024,162
Henshaw Avenue,Yeadon,Leeds,Otley & Yeadon,2BH,17/06/2024,983
Third Avenue,Armley,Leeds,Armley,2BF,05/04/2024,911
Ramshead Drive,Seacroft,Leeds,Killingbeck & Seacroft,2BH,17/05/2024,693
Cromwell Heights,Burmantofts,Leeds,Burmantofts & Richmond Hill,2BF,09/05/2024,90
Atha Crescent,Cross Flatts,Leeds,Beeston & Holbeck,2BH,11/04/2024,532
Wyther Park Crescent,Armley,Leeds,Armley,3BH,03/04/2024,1
Westerton Road,Tingley,Wakefield,Ardsley & Robin Hood,3BH,19/06/2024,505
West Grange Road,Belle Isle,Leeds,Middleton Park,2BH,01/05/2024,750
Regent Crescent,Horsforth,Leeds,Horsforth,2BF,27/06/2024,1
St James Walk,Horsforth,Leeds,Horsforth,3BH,10/04/2024,913
Cotswold Drive,Rothwell,Leeds,Rothwell,2BH,20/05/2024,823
Broadlea Terrace,Bramley,Leeds,Bramley & Stanningley,1BF,12/04/2024,1
Brayton Terrace,Swarcliffe,Leeds,Cross Gates & Whinmoor,2BH,03/04/2024,636
Woodbridge Lawn,Headingley,Leeds,Kirkstall,3BH,07/05/2024,767
Gamble Hill Grange,Bramley,Leeds,Farnley & Wortley,1BMSF,18/06/2024,321
Hawkshead Crescent,Seacroft,Leeds,Killingbeck & Seacroft,4BH,06/06/2024,1
Gilbert Close,Kirkstall,Leeds,Kirkstall,1BF,05/04/2024,495
The Heights West,Armley,Leeds,Farnley & Wortley,1BMSF,18/04/2024,410
Bedford Mount,Cookridge,Leeds,Weetwood,3BH,23/04/2024,1094
Gilbert Mount,Kirkstall,Leeds,Kirkstall,1BF,24/06/2024,1
Ramshead Hill,Seacroft,Leeds,Killingbeck & Seacroft,1BF,05/06/2024,1
Sissons Road,Middleton,Leeds,Middleton Park,3BH,02/05/2024,569
Neville Approach,Osmondthorpe,Leeds,Temple Newsam,2BH,28/06/2024,924
Wyther Park Crescent,Armley,Leeds,Armley,1BF,05/06/2024,1
Cross Grasmere Street,Armley,Leeds,Armley,1BB,10/06/2024,76
Main Street,Methley,Leeds,Kippax & Methley,1BF,04/04/2024,43
Belle Isle Road,Belle Isle,Leeds,Middleton Park,2BH,24/04/2024,687
Latchmere View,West Park,Leeds,Kirkstall,2BF,26/04/2024,1
Ashlea Court,Bramley,Leeds,Bramley & Stanningley,1BF,17/05/2024,45
Harold Place,Hyde Park,Leeds,Headingley & Hyde Park,1BH,10/05/2024,666
Snowden Lawn,Bramley,Leeds,Bramley & Stanningley,2BM,03/04/2024,231
Stocks Road,Seacroft,Leeds,Killingbeck & Seacroft,2BH,18/06/2024,1
Victoria Close,Allerton Bywater,Castleford,Kippax & Methley,1BF,08/04/2024,30
Temple Avenue,Rothwell,Leeds,Rothwell,3BH,23/04/2024,738
Oak Crescent,Garforth,Leeds,Garforth & Swillington,3BH,17/04/2024,680
Copperfield View,Cross Green,Leeds,Burmantofts & Richmond Hill,3BH,13/06/2024,342
Sissons Green,Middleton,Leeds,Middleton Park,1BF,30/04/2024,1
Newhall Crescent,Middleton,Leeds,Middleton Park,3BH,02/04/2024,982
Springbank Road,Gildersome,Morley,Morley North,1BF,23/04/2024,714
Swarcliffe Drive,Swarcliffe,Leeds,Cross Gates & Whinmoor,3BH,28/05/2024,1251
Belinda Street,Hunslet,Leeds,Hunslet & Riverside,1BF,26/06/2024,25
Hartley Street,Morley,Leeds,Morley South,2BH,17/05/2024,1
Swarcliffe Drive,Swarcliffe,Leeds,Cross Gates & Whinmoor,1BF,03/04/2024,1
Sissons View,Middleton,Leeds,Middleton Park,3BH,12/06/2024,946
Grange Crescent,Chapeltown,Leeds,Chapel Allerton,1BF,24/05/2024,1
Tennyson Street,Guiseley,Leeds,Guiseley & Rawdon,1BF,08/05/2024,305
Harley Drive,Swinnow,Leeds,Pudsey,2BH,07/05/2024,550
Newlands Drive,Morley,Leeds,Morley South,2BH,09/04/2024,432
Hyde Park Close,Hyde Park,Leeds,Little London & Woodhouse,1BF,10/04/2024,24
Lay Garth Place,Rothwell,Leeds,Rothwell,2BH,12/04/2024,669
Longthorpe Lane,Lofthouse,Wakefield,Ardsley & Robin Hood,3BH,05/04/2024,1
Clayton Court,West Park,Leeds,Kirkstall,3BMSF,31/05/2024,108
Poplar Way,Bramley,Leeds,Armley,2BH,12/04/2024,469
Barncroft Grange,Seacroft,Leeds,Killingbeck & Seacroft,1BMSF,30/05/2024,1
Parkway Towers,Seacroft,Leeds,Killingbeck & Seacroft,2BMSF,25/04/2024,1
Gledhow Towers,Gledhow,Leeds,Roundhay,1BMSF,11/06/2024,481
Outgang Lane,Bramley,Leeds,Armley,3BH,23/04/2024,1
Tarnside Drive,Seacroft,Leeds,Killingbeck & Seacroft,2BH,09/05/2024,725
Cardinal Road,Beeston,Leeds,Beeston & Holbeck,1BF,08/04/2024,1
Sixth Avenue,Rothwell,Leeds,Rothwell,3BH,17/06/2024,967
Larkfield Mount,Rawdon,Leeds,Guiseley & Rawdon,1BB,28/05/2024,155
Barncroft Road,Seacroft,Leeds,Killingbeck & Seacroft,1BF,08/05/2024,1
Lovell Park Court,Sheepscar,Leeds,Little London & Woodhouse,1BF,17/04/2024,27
Scott Hall Drive ,Chapeltown,Leeds,Chapel Allerton,3BH,12/06/2024,765
Whincover Cross,Farnley,Leeds,Farnley & Wortley,3BH,18/06/2024,530
Holborn Street,Woodhouse,Leeds,Headingley & Hyde Park,4BH,15/05/2024,403
Thackray Street,Morley,Leeds,Morley South,3BH,04/04/2024,803
Lovell Park Heights,Sheepscar,Leeds,Little London & Woodhouse,2BMSF,25/06/2024,132
St Lukes Green,Beeston,Leeds,Beeston & Holbeck,3BH,17/06/2024,813
Sholebroke Street,Chapeltown,Leeds,Chapel Allerton,2BH,25/06/2024,904
Tennyson Close,Pudsey,Leeds,Pudsey,2BH,17/05/2024,661
Scott Hall Avenue,Chapeltown,Leeds,Chapel Allerton,2BH,21/05/2024,855
Cottingley Approach,Beeston,Leeds,Beeston & Holbeck,2BH,02/05/2024,240
Blackburn Court,Rothwell,Leeds,Rothwell,BED,25/06/2024,528
Middleton Park Green,Middleton,Leeds,Middleton Park,1BB,22/05/2024,805
Gledhow Towers,Gledhow,Leeds,Roundhay,1BF,26/06/2024,1
Clifton Mount,Harehills,Leeds,Burmantofts & Richmond Hill,2BH,26/06/2024,1
Lingfield Gardens,Moortown,Leeds,Alwoodley,2BH,10/05/2024,1
Wood Lane,Rothwell,Leeds,Rothwell,2BF,24/04/2024,1025
Gray House,Wetherby,Leeds,Wetherby,2BM,17/04/2024,82
Parkway Towers,Seacroft,Leeds,Killingbeck & Seacroft,2BMSF,20/06/2024,1
All Saints Circle,Woodlesford,Leeds,Rothwell,1BF,01/05/2024,479
Helston Walk,Middleton,Leeds,Middleton Park,2BH,16/05/2024,300
Broad Lane,Bramley,Leeds,Bramley & Stanningley,2BH,22/04/2024,751
Meanwood Valley Grove,Meanwood,Leeds,Weetwood,2BH,15/04/2024,1044
Easterly Cross,Harehills,Leeds,Gipton & Harehills,3BH,04/04/2024,737
Throstle Walk,Middleton,Leeds,Middleton Park,3BH,29/05/2024,555
Harrogate Road,Moortown,Leeds,Chapel Allerton,3BH,02/05/2024,1
Carlton Garth,Sheepscar,Leeds,Little London & Woodhouse,1BMSF,19/06/2024,1
Wortley Towers,Farnley,Leeds,Armley,2BMSF,11/06/2024,127
Silk Mill Bank,Cookridge,Leeds,Weetwood,3BH,02/04/2024,1055
Winrose Hill,Belle Isle,Leeds,Middleton Park,1BF,08/04/2024,694
Dulverton Close,Beeston,Leeds,Beeston & Holbeck,2BF,11/06/2024,229
Rosgill Drive,Seacroft,Leeds,Killingbeck & Seacroft,1BF,03/04/2024,923
Mitford View,Armley,Leeds,Armley,2BH,05/04/2024,173
Greengate,Oulton,Leeds,Rothwell,1BB,02/05/2024,122
Ganners Grove,Bramley,Leeds,Bramley & Stanningley,2BF,26/06/2024,480
Foundry Mill Street,Seacroft,Leeds,Killingbeck & Seacroft,3BH,04/04/2024,925
Throstle Road,Middleton,Leeds,Middleton Park,2BH,10/04/2024,571
Kirkstall Hill,Burley,Leeds,Kirkstall,3BM,07/05/2024,422
Beckhill Gate,Miles Hill,Leeds,Chapel Allerton,2BH,25/04/2024,728
Holtdale Way,Adel,Leeds,Adel & Wharfedale,3BH,01/05/2024,805
Hallfield Crescent,Wetherby,Leeds,Wetherby,3BH,31/05/2024,909
Nursery Garth,Wetherby,Leeds,Wetherby,1BH,03/06/2024,75
Town Gate,Calverley,Pudsey,Calverley & Farsley,2BB,23/05/2024,149
Trafford Avenue,Harehills,Leeds,Gipton & Harehills,3BH,10/04/2024,259
Manor Close,Yeadon,Leeds,Otley & Yeadon,1BF,01/05/2024,558
Nutting Grove Terrace,Farnley,Leeds,Farnley & Wortley,1BF,17/06/2024,575
St Alban Approach,Harehills,Leeds,Burmantofts & Richmond Hill,2BH,24/05/2024,773
Houghley Lane,Bramley,Leeds,Armley,1BF,18/06/2024,2
Halliday Road,Garforth,Leeds,Garforth & Swillington,2BM,18/06/2024,194
Hemishor Drive,Great Preston,Leeds,Garforth & Swillington,3BH,16/05/2024,850
Pigeon Cote Road,Seacroft,Leeds,Killingbeck & Seacroft,1BF,12/06/2024,1
Hill Crest,Swillington,Leeds,Garforth & Swillington,1BB,03/06/2024,142
Britannia Close,Stanningley,Pudsey,Bramley & Stanningley,2BH,08/05/2024,51
Leeds And Bradford Road,Bramley,Leeds,Bramley & Stanningley,1BF,28/06/2024,606
Carlton Grove,Sheepscar,Leeds,Little London & Woodhouse,2BH,19/04/2024,461
Belle Isle Road,Belle Isle,Leeds,Middleton Park,3BH,01/04/2024,1
Broadlea Mount,Bramley,Leeds,Bramley & Stanningley,4BH,25/06/2024,537
Spen Crescent,West Park,Leeds,Kirkstall,1BF,03/04/2024,1259
Eastdean Grange,Seacroft,Leeds,Killingbeck & Seacroft,3BM,22/05/2024,270
Enfield,Yeadon,Leeds,Otley & Yeadon,2BH,07/06/2024,344
Belle Isle Road,Belle Isle,Leeds,Middleton Park,4BH,18/06/2024,1
Blenheim Square,Woodhouse,Leeds,Little London & Woodhouse,1BF,18/04/2024,650
Holtdale Way,Adel,Leeds,Adel & Wharfedale,1BF,09/04/2024,690
Newhall Chase,Belle Isle,Leeds,Middleton Park,1BB,25/06/2024,77
Wellstone Garth,Swinnow,Leeds,Pudsey,3BH,10/04/2024,1
Haslewood Drive,Burmantofts,Leeds,Burmantofts & Richmond Hill,1BF,29/04/2024,1008
Queenswood Court,Headingley,Leeds,Kirkstall,2BMSF,23/05/2024,19
Wortley Heights,Upper Wortley,Leeds,Armley,2BMSF,09/05/2024,49
Kelsall Avenue,Hyde Park,Leeds,Little London & Woodhouse,1BH,05/04/2024,899
Burmantofts Street,Burmantofts,Leeds,Burmantofts & Richmond Hill,1BF,16/05/2024,970
Cragside Walk,Kirkstall,Leeds,Kirkstall,3BH,29/04/2024,904
Beckhill Fold,Miles Hill,Leeds,Chapel Allerton,1BF,16/04/2024,350
Scott Hall Avenue,Chapeltown,Leeds,Chapel Allerton,2BH,03/06/2024,808
Eastdean Road,Seacroft,Leeds,Killingbeck & Seacroft,1BF,26/04/2024,765
Westfield Avenue,Yeadon,Leeds,Guiseley & Rawdon,3BH,19/06/2024,858
Gascoigne House,Middleton,Leeds,Middleton Park,2BF,14/04/2024,1
Fairview House,Wetherby,Leeds,Wetherby,BED,07/06/2024,8
Fir Tree Approach,Moortown,Leeds,Alwoodley,3BM,02/05/2024,159
Meagill Rise,Otley,Leeds,Otley & Yeadon,2BH,17/06/2024,1041
Queenswood Drive,Headingley,Leeds,Kirkstall,1BF,08/04/2024,762
Shakespeare Close,Burmantofts,Leeds,Burmantofts & Richmond Hill,1BF,22/05/2024,701
Winrose Crescent,Belle Isle,Leeds,Middleton Park,1BF,29/05/2024,715
Gilbert Close,Kirkstall,Leeds,Kirkstall,1BF,19/06/2024,781
Heights Way,Armley,Leeds,Farnley & Wortley,3BH,19/06/2024,681
St James Walk,Horsforth,Leeds,Horsforth,1BF,01/05/2024,910
Whingate Green,Armley,Leeds,Farnley & Wortley,2BF,03/04/2024,643
Deanswood Hill,Moortown,Leeds,Alwoodley,2BH,06/06/2024,1
Woodbridge Vale,Headingley,Leeds,Kirkstall,2BH,02/04/2024,784
Grange Avenue,Chapeltown,Leeds,Chapel Allerton,5BH,14/05/2024,1
The Flats,Yeadon,Leeds,Otley & Yeadon,1BF,12/06/2024,316
Westfield Avenue,Yeadon,Leeds,Guiseley & Rawdon,3BH,12/04/2024,632
Monkswood Hill,Seacroft,Leeds,Killingbeck & Seacroft,3BH,02/04/2024,1
Farndale View,Swarcliffe,Leeds,Cross Gates & Whinmoor,1BF,16/05/2024,616
Wortley Heights,Upper Wortley,Leeds,Armley,2BMSF,15/04/2024,66
The Garth,Richmond Hill,Leeds,Burmantofts & Richmond Hill,2BMSF,20/06/2024,5
Beevers Court,Lawnswood,Leeds,Weetwood,1BMSF,08/04/2024,137
King Alfreds Walk,Meanwood,Leeds,Moortown,2BH,20/05/2024,2
Home Lea,Rothwell,Leeds,Rothwell,1BB,31/05/2024,122
Hyde Park Close,Hyde Park,Leeds,Little London & Woodhouse,3BH,02/05/2024,776
Butterbowl Drive,Farnley,Leeds,Farnley & Wortley,2BF,30/04/2024,708
Greengate,Oulton,Leeds,Rothwell,1BB,29/05/2024,154
Royal Court,Hunslet,Leeds,Hunslet & Riverside,2BF,23/04/2024,202
Bondgate,Harewood,Leeds,Harewood,1BF,21/05/2024,1
Clayton Court,West Park,Leeds,Kirkstall,3BMSF,17/06/2024,191
Burnsall Grange,Armley,Leeds,Armley,2BMSF,26/04/2024,110
Hebden Walk,Whinmoor,Leeds,Cross Gates & Whinmoor,3BH,30/05/2024,1
Clifton Terrace,Harehills,Leeds,Burmantofts & Richmond Hill,2BH,11/06/2024,271
Baildon Walk,Whinmoor,Leeds,Cross Gates & Whinmoor,2BH,24/05/2024,564
Delph Mount,Woodhouse,Leeds,Headingley & Hyde Park,3BH,27/06/2024,650
Compton Row,Harehills,Leeds,Burmantofts & Richmond Hill,2BH,15/05/2024,203
Cromwell Heights,Burmantofts,Leeds,Burmantofts & Richmond Hill,2BMSF,19/06/2024,375
Sissons Road,Middleton,Leeds,Middleton Park,2BF,14/06/2024,336
The Grove,Gildersome,Morley,Morley North,BED,26/04/2024,17
Glen Road,Morley,Leeds,Morley South,1BF,23/04/2024,363
Broadway,Horsforth,Leeds,Horsforth,2BF,22/05/2024,424
Scott Hall Avenue,Chapeltown,Leeds,Chapel Allerton,2BH,19/06/2024,912
Andrew House,Farsley,Pudsey,Calverley & Farsley,2BM,17/05/2024,285
Whiteley Croft,Otley,Leeds,Otley & Yeadon,1BB,11/04/2024,123
Lidgett Towers,Gledhow,Leeds,Roundhay,2BMSF,08/05/2024,90
Parkway Court,Seacroft,Leeds,Killingbeck & Seacroft,1BMSF,02/05/2024,1
Torre View,Harehills,Leeds,Burmantofts & Richmond Hill,2BF,15/05/2024,719
