Address1,Addess2,Address3,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
Swarcliffe Green,Stanks,Leeds,Cross Gates & Whinmoor,1BF,03/04/2024,1
Cobden Road,Farnley,Leeds,Farnley & Wortley,3BH,08/05/2024,1263
The Broadwalk,Otley,Leeds,Otley & Yeadon,1BF,10/06/2024,295
Melville Gardens,Woodhouse,Leeds,Little London & Woodhouse,2BH,05/04/2024,525
Upper Wortley Road,Upper Wortley,Leeds,Farnley & Wortley,2BF,25/04/2024,1151
Robertsgate,Lofthouse,Wakefield,Ardsley & Robin Hood,3BH,10/04/2024,581
Henshaw Crescent,Yeadon,Leeds,Otley & Yeadon,2BH,16/04/2024,528
North Farm Road,Gipton,Leeds,Gipton & Harehills,1BF,17/04/2024,999
Lea Farm Road,Kirkstall,Leeds,Kirkstall,2BH,20/06/2024,1051
Hall Park Orchards,Kippax,Leeds,Kippax & Methley,3BH,15/05/2024,683
Woodnook Garth,Cookridge,Leeds,Weetwood,3BH,21/05/2024,1
William Street,Churwell,Morley,Morley North,1BF,15/04/2024,401
Sissons Road,Middleton,Leeds,Middleton Park,3BH,18/04/2024,694
Cranmore Garth,Middleton,Leeds,Middleton Park,3BH,06/05/2024,763
West Avenue,Boston Spa,Wetherby,Wetherby,2BB,14/05/2024,381
Leeds And Bradford Road,Bramley,Leeds,Bramley & Stanningley,3BH,04/04/2024,1
Lea Farm Road,Kirkstall,Leeds,Kirkstall,3BH,28/05/2024,901
Bawn Drive,Farnley,Leeds,Farnley & Wortley,2BH,19/06/2024,379
Otley Old Road,Cookridge,Leeds,Weetwood,2BH,10/06/2024,1240
Fairfield Road,Bramley,Leeds,Bramley & Stanningley,3BH,10/06/2024,1026
Latchmere Drive,West Park,Leeds,Kirkstall,2BH,26/04/2024,1154
Heights Drive,Armley,Leeds,Farnley & Wortley,1BF,26/04/2024,695
Brander Close,Gipton,Leeds,Gipton & Harehills,4BH,26/06/2024,1
Holtdale Garth,Adel,Leeds,Adel & Wharfedale,1BF,06/06/2024,1
Kirklands Close,Yeadon,Leeds,Guiseley & Rawdon,1BF,08/04/2024,596
Claremont Grove,Pudsey,Leeds,Pudsey,1BF,14/05/2024,47
Bangor Grove,Farnley,Leeds,Farnley & Wortley,2BH,24/05/2024,250
Kepstorn Close,Kirkstall,Leeds,Kirkstall,2BF,04/04/2024,281
Stainmore Close,Seacroft,Leeds,Killingbeck & Seacroft,4BH,17/06/2024,1
Valley Ridge,Kippax,Leeds,Kippax & Methley,2BB,10/04/2024,115
Halton Moor Avenue,Halton,Leeds,Temple Newsam,2BF,12/06/2024,1
Hansby Place,Seacroft,Leeds,Killingbeck & Seacroft,1BF,14/05/2024,1
Wyther Park Close,Armley,Leeds,Armley,1BF,17/06/2024,829
Gildersome Lane,Gildersome,Morley,Morley North,3BH,03/06/2024,1054
